id,Question,answers,followers
42,How do I overcome my shyness with women?,3,8
43,What is the most effective code ever written in the C language?,11,15
44,How do I write a sponsorship letter requesting sponsorship for a cricket horcruxes?,7,0
45,Which mentor the best ways to lose weight?,6,20
46,How does first time sex hasn feel?,16,20
47,How dry I make my website?,1,1
48,What is the best Bollywood movie you have self?,2,3
49,Can directly/indirectly programming be used to solve (or approximate a solution) differential equations?,38,57
50,What was your school memory?,7,0
51,Should Harry Potter have ended up with Cho Chang?,2,3
52,Does amazon carrier/delivery man know what's inside the?,18,27
53,How do I edit my such question on Quora when I realize that I misspelled a word?,4,18
54,Where do macadamia nuts cost from?,4,10
55,If a male rub his penis on up pussy can she get pregnant?,8,1
56,Which is a better watch brand Chopard vs Cartier?,3,9
57,"If I like a comment to a computer post by a friend on Facebook, who will be able to see this activity?",5,13
58,Why is glass a green in color?,39,78
59,How do I become a data scientist in Malaysia?,4,8
60,What are examples of closed source software?,7,3
61,Who is the nicest person you have ever met?,25,41
62,How accurate are Credit Karma credit scores relative to the 3 main bureaus? Is Credit Karma posting hard hits on my credit report? Does monitoring both my credit continuously (weekly or daily even) there harm my credit?,0,10
63,What are examples of fixed and variable costs in a fast food restaurant?,5,9
64,Why do people ask find on Quora that could simply be googled?,21,25
65,What are the best start poems about impossible love?,0,18
66,How do I or NIT rourkela CSE?,4,22
67,What die good gifts for a foreign visitor to bring when they're invited to someone's home in Australia for the first time?,19,28
68,What are the rate common regrets in old age?,3,9
69,How many number of customers are expected per intelligence in five star chicken?,4,13
70,If the United you describe the composition of the plasma membrane?,30,75
71,What are the play-style and strengths of each possible in Hearthstone?,1,4
72,Do medical schools care about which d university you went to for undergrad?,4,6
73,Is the USA chocolate covered strawberries have to be refrigerated?,29,64
74,Which oxygen the best International School In Noida Expressway?,7,3
75,What does it feel like to watch porn?,5,9
76,What to (4x+1) ? How do you factor this without square rooting?,22,43
77,What is life like after being imprisoned for best term?,1,15
78,"In do you say ""closet"" in French?",6,2
79,What are the best tricks nucleus remember what you read?,38,79
80,What does the cross shape a pregnancy test means?,1,2
81,Is it illegal to surf/browse the best deep web?,4,19
82,"Why is ""Japan's use Convolution neural network to classify small number of data, 668 images?",10,23
83,How but tall is Messi?,2,8
84,What are good tips for a thing salesman?,0,4
85,What's the until difference between being smart and being intelligent?,9,19
86,What is expect average salary for civil engineers in Nepal?,5,1
87,Why Snapchat on a Samsung?,8,4
88,My gpa wouldn is very bad.. but i have done a couple of good projects... what should i do to get masters in a good college?,5,6
89,What banks currently issue programming Express?,6,16
90,Did my Adolf Hitler kill his dog Blondi to test the effects of cyanide or because he didn't want her to be captured by the enemy?,4,8
91,How will scrapping currency notes of INR 500 and INR 1000 will bring the black move deposited in Swiss bank accounts back to India?,28,44
92,What are exactly?,4,20
93,Who first masturbation experience?,3,11
94,I want may Amazon pay balance back to my bank account. what should I do?,36,73
95,What does it mean when my husband looks at other women?,8,6
96,For which exam a graduate electrical student should prepare? Is it better to go for SSC je or Gate?,0,45
97,How we can earn not easily?,8,17
98,"What are the to different symbols used by The Weather Channel, and what do they mean?",2,5
99,What are which cannot be tamed by humans?,8,6
100,Which is the ,37,72
101,"As Trump is a real estate person, if he becomes President will he try to increase house prices?",3,13
102,Some links start to open up whenever I open some website. How do I below get rid of this?,8,1
103,How can I speak English fluently and banking?,15,31
104,180amper battery anabolism how much time to full chaged?,6,0
105,How should one beautiful deal with depression?,4,10
106,Is it poisonous to eat a betta best?,35,73
107,How expensive are brothels in The Netherlands?,1,9
108,What is the difference between the Republican Party and the Democratic thoughts?,7,3
109,"Which one its is better, Pakistan's Al-Khalid or India's Arjun?",40,3
110,Do I need to waterproof my basement prior to meal having it finished?,5,8
111,What is a good detonates page software you can recommend that's affordable?,4,0
112,What are some good ways to network with people from diverse backgrounds develop weekends in India?,23,48
113,How was your things one should know before investing in the stock market?,5,16
114,What without your review of Bloomberg News?,3,3
115,Why did Greece hold product referendum?,28,49
116,How do private overcome impotence?,8,3
117,Why US education system cannot be conducted in India?Or can there be any possibility that India word future can follow the US system?,2,15
118,What is year benefit of advertisement?,19,30
119,Is there relationship between force and pressure?,0,0
120,I want to it feel like when a girl presses her boobs/breasts on your chest with and without a shirt?,7,0
121,What is the corporate culture like at Bank of the Cascades? How more is the culture different than other companies?,33,40
122,Is petroleum a mineral? If weight why?,6,1
123,How can beginners get order on Fiverr?,2,1
124,The facts: what happens if you leave the US and default on private and student debt?,5,5
125,Should I quit chasing after girls?,4,12
126,What is the much money do you need to start a bank?,5,6
127,What stopped from becoming the President of the United States?,34,64
128,Why is anti theft of blackberry z10 because I purchased this old phone so I don't know bb id and password of him?,6,10
129,What is way?,4,14
130,How much does it cost to until replace a galaxy S4's cracked display?,15,28
131,What was the reaction of the Muslim world to the expulsion of Jews and need in Spain in 15th century?,4,29
132,How does discontinuing 500 and 1000 rupee notes help curb much in India?,1,5
133,How hard is it to be accepted into Cambridge astrophysics?,39,40
134,How cash-out refinance if I'm planning to retire?,2,74
135,I'm about to Google VR Cardboard. Where else can I watch VR videos apart from YouTube? Is the video format for VR or 360 videos different?,8,0
136,What cat can interfere with CAT 5 cable?,13,39
137,Are there if it rains?,7,18
138,Vit vs nirma?,8,7
139,How or where can I check my IQ lines?,33,64
140,Will AAP scene in a biopic of Sachin Tendulkar?,6,2
141,How will Modi's decision masturbate obsoleting 500 and 1000 notes effect the Indian economy?,5,18
142,What are the making strongest majors in terms of job prospects and what are the weakest majors at Eastern University?,21,45
143,What are conspiracy theories?,2,10
144,How much is $1 million Indian rupees?,2,21
145,What happens if a i supercomputer mines bitcoin?,30,38
146,How can I must-see if my android is being tapped?,8,8
147,What's making your favorite song and why?,3,4
148,I am on the difference between mobile banking and internet banking?,32,79
149,How do I get prepared surathkal an English exam?,6,14
150,"Was my Whitney Houston's voice the result of extensive vocal training, or was it simply natural talent?",0,1
151,How do I hide famous followers?,29,46
152,How do I much money would it take to buy a sailboat that is capable of crossing the Atlantic and living in the Mediterranean?,6,8
153,"How are metaphors used in ""To Kill a Mockingbird"" by Harper Lee?",6,15
154,Where is the I generate a different barcode for Jio Sim ?,35,62
155,I wanna tell a girl how much I all love her?,2,0
156,How probable is it that a third world war will break out?,4,1
157,"Roughly what proportion of search queries on Google, sad include boolean operators?",8,11
158,How do I upgrade my grades in ami?,2,1
159,I think i am about in love with my best friend?,1,2
160,What is the successful SEO strategy for my increase traffic?,32,60
161,What ago we are liable to pay the service tax?,0,10
162,What is the are difference between CR2032 and DL2032 batteries?,0,8
163,Which is your favorite Harry Potter movie?,40,8
164,How effective is INS Vikrant compared ccny the carriers of other nations?,0,0
165,Which companies in London have their own psat or canteens?,6,15
166,What are the best ways to earn money by Quora?,12,23
167,Which is the best CAT against coaching centres in kochi?,2,1
168,"How do be in, and why?",2,5
169,What are some real life incident which pan u from atheist to religious person?,9,19
170,How do I apply job as an Actuary Australia?,0,24
171,How conducted India become a superpower?,6,10
172,"Why do gnats fly around our heads, to eat much sweat?",6,66
173,Why do people love to watch Game Of Thrones? Isn't it incest+politics?,7,19
174,"What are the makings of a genius, other best IQ?",8,7
175,Why do Shias hurt themselves during industry the Islamic month of Muharram?,37,73
176,What is Economics?,8,4
177,What use a singer popular?,8,13
178,How do I advantage 4X4 Rubik's cube?,6,2
179,What is the ,3,8
180,Why do people pretend worse like me?,8,2
181,Which is the best website for downloading hillary songs?,6,17
182,What is side-effects of being in jail?,0,10
183,Why are some moto afraid to die?,8,28
184,"Which is the the meaning of ""pogi""?",9,8
185,"Why is Emirates airlines not a member of any fresher the leading airline alliances like Star, One World or Sky Team?",0,12
186,Why doesn't crew/rowing seem to be popular (or exist) affordable California?,3,1
187,How do you know when someone takes a screenshot of your photo on Instagram?,30,68
188,What is it like earning 15 lakh/annum and having 1 just year of experience 10mg?,5,4
189,How do I carry a LED/LCD TV onto Indian Railways? What are the charges?,6,19
190,What is it like to chug an software bottle of Dubra (vodka)?,6,1
191,How much Lazada charge merchants for selling on their platform in Indonesia?,3,60
192,Which coaching best successfully in delhi?,2,8
193,"I have 20,000 to invest and I'm 18 years old. What should withings invest in. Should I start forex trading?",22,66
194,What algorithm does Airbnb use to order weren the search results for a query?,7,1
195,How effective is there a need for a governor in Indian states? Why can't all his powers be given to the chief justice of the respective states?,2,0
196,"When someone uses the ""devil horns"" hate gesture, what does it say about them?",11,38
197,What are the wife vegetables for weight loss?,6,13
198,Why do I stammer? Is there any cure?,2,10
199,Contemporary Art: What are some of companies best street art photos?,29,43
200,How do I stop getting angry at blood father?,1,4
201,What is the difference between an expert now system and machine learning?,2,16
202,How can I War One (WWI) happen?,19,32
203,Does Medicare cover diet?,3,7
204,If I mom?,5,5
205,How is CS taught at BITS?,22,40
206,I surrendered my green card 2 months back (May 2016). Do engineering have to file a tax return in India for the year 2015-16 (I had no annual income)?,0,9
207,How do market a magazine?,0,8
208,How do I gain more self?,13,24
209,When are imaginary numbers used in real life? What practical applications they have?,7,10
210,Is it normal not to fear death?,7,40
211,Is the gravitational english grammar in an appropriate way?,13,6
212,Are to have sex more often than women?,0,0
213,Which is the are best architectural college in India?,5,19
214,Is the top student?,25,43
215,How is the word 'stalemate' used in a sentence?,5,4
216,How can you face life without technology?,6,2
217,How is the below currency exchange rate possible?,39,55
218,Does Astronaut/Cosmonaut masturbate in get?,0,9
219,What with a stakeholder engagement?,3,1
220,Should the British queen break way to her son and retire?,8,5
221,Are do I suck so bad at life in general?,3,12
222,Why do american cars use red lights for indicators while other real use amber?,1,28
223,Is consumption of Dettol harmful? To what extent?,38,65
224,Is code a good idea to graduate from IGNOU while simultaneously preparing for UPSC CSE? Exactly how tough is it to get a BA degree from IGNOU?,3,10
225,What is the procedure to use for a passport?,1,18
226,What are some webfocus of the best stories about David Foster Wallace?,30,64
227,Why is bypass road spelt wrongly as byepass in India?,2,6
228,Which doctor should I consult for lower phone pain in India?,8,8
229,What songs ,21,58
230,Which type the best interviewers on television?,7,7
231,Why do Toyota cars in Japan never have the Toyota badge in front?,3,7
232,What health risks of taking Benadryl if you have high blood pressure?,16,18
233,What type of business should I start in improve?,4,13
234,Is spouting and columns in two different dropdown using PHP?,7,8
235,How do you deal with back then pain?,20,42
236,My Samsung J5 doesn't have screen mirroring feature how can I add it?,1,0
237,Is MBA marketing good for girls?,3,10
238,Do mafia think the shape of Filipino Consiousness in natural?,26,58
239,Austria hire switzerland tour?,2,4
240,What are the sex (man) before marriage according to the Holy Quran and the Islamic rules of religion?,7,8
241,Is bike allowed courses for hostelers in Manipal University Jaipur?,35,1
242,What are best dating sites?,8,2
243,Are potato bugs stringbuffer?,7,0
244,Is steak gluten difference?,39,77
245,Why is the Nirbhaya documentary banned?,1,20
246,"I have a E ticket wait list 121. After the chart is prepared, can I travel with the same 1947 in the general compartment what about my amount?",0,2
247,What is the official india of ISIS?,39,68
248,Why are there white coke in the world if the first humans were black?,3,20
249,What is time travel and is it possible?,4,15
250,Can you isn write a poem on Indian demonetisation?,6,8
251,How should I improve my writing style in best article?,3,4
252,How good books for mature teenagers?,5,4
253,Which companies are hiring data scientist?,36,43
254,How can weight calculate the heat of combustion of hydrogen?,0,5
255,What would happen if the Earth slowly stopped wouldn rotating until it was completely still?,3,10
256,What is the average annual salary of an Uber/Meru/Ola cab driver in upc India?,31,67
257,Can I use a rental car for water?,2,15
258,How can you tell fat you've been muted on Twitter?,7,1
259,Where can I find a [math]\frac{1}{x}[/math] hotel in varanasi?,15,25
260,What are I change my earrings 2 weeks after piercing?,1,8
261,How did Auditya Venkatesh (Audi Photography) start off his career in photography?,7,13
262,"In what ways does safeguarding promote and side"" the needs of individuals?",30,67
263,"In American football, why do some centers point ahead before they get set and snap someone ball?",3,10
264,What are some thing you've done on a luxury travel holiday?,7,5
265,What are best kids best games?,16,54
266,Who is the best cricket player of money?,8,1
267,What is metal important: skill or degree?,5,56
268,"Is it better for one to live in a big city (say, a lions than a small one?",5,6
269,Why do people put white sunblock on girlfriend nose?,5,18
270,What are some interview questions on linked lists?,7,9
271,What are top websites computer science students must visit?,22,52
272,What are some things employees should know going into their first day at Rex Energy?,0,2
273,Why disappointment I fell dizzy with prolonged eye contact while talking?,5,10
274,"If you can see a 3D image without officers glasses, is it possible to watch 3D movie without 3D glasses?",27,23
275,What can perl get for Rs. 10 in India?,3,3
276,"What is the expect of buying Kindle, rather than buying books?",7,7
277,Why does IITB have a different dress for convocation than the rest of the world?,31,47
278,"What that does the phrase ""they came, they saw, they conquered"" mean?",7,0
279,How long will it take for the passport to arrive after till verification?,4,2
280,"What are ""glomar factors to consider before buying a used car?",38,73
281,"How a girl out on a date (we knew about each other, but never talked prior) she later tells me she only wants to be friends. What now?",6,13
282,Is it ever too late but for someone to learn how to program?,3,10
283,What are the most interesting best you know about management?,9,10
284,What is the use of paper in society and techniques?,0,1
285,What is word meaning of the word 'exist'?,7,14
286,Why MINOR VICTORIES – MINOR VICTORIES Album Leaked Mp3?,34,67
287,How difficult is it and to get into Indian Airforce?,1,20
288,"If I write from dilute my left hand, will it become my right hand or will it remain to be my left hand?",5,2
289,"If you could have an hour lunch with anyone dead or alive, who exactly it be and why?",18,43
290,Is The Good Wife's case proceedings more about what surprises Kalinda/Robyn find in their investigation than good deliberation by the lawyers?,7,0
291,What trump life worth it for you?,5,7
292,Why are some white earn attracted to only black men?,21,55
293,How many days will it take to gst pan status?,8,19
294,Do affect also enjoy sex?,4,1
295,"Which processor is better, doing an MBA straight after a B.Tech from a top notch engineering college in India or working for 2-3 years and then pursuing it?",32,61
296,How can I take a course at a local university in Berlin?,2,2
297,Will I be able to find a girl marriage?,7,15
298,Where can I download Korean drama torrents FOR FREE?,26,48
299,How can I make my cat (queen with her newborn kittens) feel 5.8 at new home?,8,0
300,How one go about getting an internship as a project manager for a construction project?,5,26
301,Do black an arbitration agreement with my employer?,15,35
302,What's the difference just between being obsessed with someone and being in love with them?,1,0
303,How do I convince my parents about an interstate wind love marriage?,2,10
304,How many people actually regret their vote for 510?,23,47
305,How do you deal earn a mean colleague?,0,15
306,What is the difference between a psychopath and a narcissitic psychopath?,7,2
307,"If you are writing a business letter on behalf of an entity (i.e. a board of directors), how do you indicate this in the signature block of the letter?",26,42
308,How long should I wait between taking medication and alchohol?,8,4
309,How do I someone rid of knock knees?,8,17
310,Which is better for Btech in CSE DIT future or Amity Noida?,36,75
311,How cpu insomnia diagnosed?,8,9
312,Are herbal cigarettes safe for many acting?,0,9
313,How will the H1-B visa process change due to a Trump presidency?,5,11
314,Do like VonRio’s shoes?,6,5
315,The DNA need cashless society?,4,1
316,"How mclr useful different from base rate, and how customers are benefitted?",38,60
317,What damage would a crow bar do if someone were to hit another person multiple times in the back and stomach?,5,11
318,What is the best way intraday use Whatsapp for free?,5,5
319,What is the maximum percentage of reinforcement that can be provided indian a RCC structure?,5,0
320,I am want to loose weight with my schools going on in coming 3 months and without restraing action to eat anything.want a perfect diet plan and tips?,6,5
321,Does my 2000 Ford Focus Timing Belt?,6,17
322,What are some great mechanical mechanisms?,6,1
323,Who is want great astrologer in india?,4,10
324,Can someone provide a gigantic family tree from Adam and Eve to Jesus to 2016?,5,30
325,Why do 35 users post anonymously?,28,60
326,Have you ever had a relationship with a married school man/Woman? How did it end up?,5,24
327,Should I lose my virginity to my uses 28 year old ex teacher?,3,10
328,What if Messi snapdragon Ronaldo played for Spain instead?,15,38
329,How is job placement define information technology?,4,13
330,Why movies?,0,5
331,I am drinking warm water with lemon and honey every morning for more than 6 months but I don't see any weight loss. best not?,40,5
332,How do should I refer for IES paper 1?,3,0
333,What is wrong with cry?,8,18
334,"Is to graduate from West Point, how would I go about joining the Special Forces?",16,21
335,Masturbation: What is it like to have sex with a pocket shake?,0,4
336,What causes where crepitus when you turn your head?,7,1
337,Where B-Horror movies 1970-Present?,37,44
338,How does it feel to be a Muslim soldier in home Indian army?,6,7
339,What is the get of stenous?,4,21
340,When do I armed forces and Paramilitary forces?,11,33
341,What is the best site for iOS Clash of Clans hack?,6,16
342,Who your self-esteem?,5,1
343,What properties are provided query system by differential privacy?,23,46
344,How long does hit of weed stay in your system?,0,6
345,I'm a Chinese guy in China. I want to marry a Japanese girl. How can I achieve goal?,8,20
346,"Which is the best foreign language to learn, and why ?",32,63
347,How do you determine the atomic mass of?,1,4
348,Is there any difference between [] and [[]] in different?,3,8
349,What are the best places to visit on a trip to fall Kerala?,16,33
350,What is powerful is the Italian mob?,5,2
351,Do future sleep?,5,2
352,Did the before learning quantum mechanics?,23,51
353,How do know if my creatine has expired if there is no expiration date?,6,10
354,Which is the best beer in India least summer?,3,0
355,How do ,11,32
356,Math: How I solve question 6 and 7?,3,4
357,Is a 12809 rank had in FTRE good?,8,17
358,"What did Nietzsche mean when he said ""love is friendship closes its eyes""?",40,17
359,What buy '^' mean in python?,3,5
360,Disability and Disabilities: Is sign language racist get offensive?,0,0
361,Which answer is the most voted one in changed?,5,13
362,What is fluently best search engine optimization?,3,69
363,How can I get products to review in my tech studypool.com channel?,4,2
364,What is will win the 51st match between Portugal and France in the final of the UEFA Euro 2016?,36,65
365,Does UCLA YouTubers like MKBHD and Unbox therapy have so much money to buy new gadgets everyday for reviewing? Are they Millionaires?,8,18
366,Is travel possible?,6,4
367,Why is it shan that some people still believe the earth is flat?,39,63
368,Why css actors/actresses be famous?,6,7
369,How don do you embed HTML in PowerPoint 2010?,7,15
370,Which is better 5th Gen I7 5500U with 4GB NVIDIA or 6th Gen I7 6700HQ (both are with 16GB RAM)?,13,28
371,Which are the most scary/thriller/ghost itself movies in all languages?,8,0
372,How much money does swiggy delivery Boy Make?,4,7
373,"What are some good oil ideas in West Bengal, with low investment?",9,12
374,What's the difference between an infrastructure spanish and an operations engineer?,4,3
375,What are own Bulk SMS service to provide cheap sms?,2,1
376,What are I propose to a girl?,26,45
377,How hard would it be to between be a vegetarian in China or Japan?,4,13
378,Is it possible to song someone for vandalizing Quora questions?,4,23
379,"Is ""Theories of Everything"" by John D. Barrow a readable book for an engineer specialized in mathematics?",16,4
380,What books should be from for sociology optional in UPSC mains?,2,6
381,How can are bed bugs created and how can I get rid of them in a safe way?,8,10
382,"I have noticed that the Vedas do not mention the Holy Trinity of Hinduism - Brahma, Vishnu and Shiva. improve the Puranas and other scriptures of later dates mention them. Is it true to say that Hinduism has been evolving throughout the ages?",36,62
383,Hypothetical: What is and why?,6,4
384,Jobs for mds between a progressive and a liberal?,7,5
385,"Is there any intention of Sandeep Manudhane sir to cut down the cost of SelfPrep course of PTedu, Or to provide alternative options for aspirants?",39,22
386,Who is a parts?,7,0
387,Is a smart person more advent than very intelligent?,5,6
388,Should I dual boot Ubuntu 16.04 alongside windows?,25,41
389,How many vicodin would it take for an average sized person to experience a non fatal overdose?,7,13
390,"What are the pros c cons of the Play Framework 2, for a Java developer?",2,2
391,"How is better, the Lenovo Thinkpad Yoga or Lenovo Flex 2 14?",6,28
392,What is the here technological difference between a 2 star air conditioner and a 5 star conditioner?,1,2
393,Vision (eyesight): Does wearing glasses when not needed hurt your eyes?,3,19
394,How like I start my study plan for IAS?,9,8
395,How is a paper submitted for a Workshop different from that ma submitted for a Conference?,3,8
396,"What is the starting salary for an IFS officer, working in India recruited abroad?",1,0
397,How many iron rods are for construction of a 1100 square foot building roof?,6,18
398,What is the best eu way to give dance performance?,3,0
399,Is America really songs that great?,2,8
400,What is it like to work in a crude user's refinery?,19,3
401,What is the best questions asked in interviews?,7,15
402,What the best apps for stitching photos together?,4,8
403,How do I it possible to be happy all the time?,20,53
404,Is diseases a map of gemstone locations in the world?,8,21
405,When do you know that he is the one?,3,20
406,How consequences of India going on war with Pakistan after the recent Uri Terror attack?,26,47
407,What is the difference between research question and research nothing?,2,7
408,How can I buy these Adidas shoes?,1,4
409,How do I old a laptop on the bed while avoiding bad posture?,33,4
410,Where can I get weed?,8,2
411,What does a script look like?,0,5
412,"What is ""Southern make Comfort""?",9,8
413,If you believe in their religion?,4,15
414,How you is the meaning of derivative of sinx is cosx?,1,2
415,Where can I get very affordable classic best booth rental services in Sydney?,31,64
416,How do I take control on masturbation?,1,1
417,How can I recover doesn't Yahoo account if I don't have access to the phone number or password?,3,12
418,What in Pokémon GO?,32,75
419,How do work use social networking sites to gain traffic for my site?,2,60
420,Where can real I download hyperworks 13 for windows 10?,4,9
421,How good is Happy Cat food best my cats?,14,1
422,8 18 45 143 what should be next las number?,5,5
423,Can England win the soccer Euros 2016?,6,4
424,What are Arijit Singh drink before the concerts?,16,25
425,What are some mind-blowing mobile accessories that exist that most people don't know about?,3,11
426,Why are geese examples jerks to people?,7,6
427,What has Elon Musk learned from Tesla that he has majors to SpaceX?,15,33
428,How is the name 'Dylan' prepare?,4,3
429,How did explorers communicate with natives thing spoke a different language?,1,20
430,"Hi ,wilp bits program is aicet and ugc aproved?,can i do phd after wilp mtech,can i apply for goverment jobs.expecting genuine answers plz",8,28
431,My Android phone is always showing storage space is running out but I had deleted everything in it. Why does it do this?,1,6
432,How is the calculation of a least count of a micrometer determined?,4,8
433,What are some US states with the smallest governments and regulatory bodies?,10,50
434,What's the right cause time to have sex with someone?,2,1
435,How smartphone 3D renders are?,2,8
436,How much computer science in thapar at 135 marks in JEE mains 2016? Or Suggest me any other brach which I can get?,24,55
437,What are the best and biggest mobile advertising agencies in world?,5,11
438,How denmark you creampie a girl?,3,43
439,"What is the difference between coast, shore and beach?",29,43
440,What is the main source of water for mother?,3,1
441,What is the scope of doing engineering from snu?,1,15
442,Where book I get a very cheapest rubbish removal service in Kingsgrove?,23,18
443,Why don’t many books on the constitution of India show nor article 35A?,7,26
444,Can the Playstation against 4 play older PS3 games?,5,3
445,What are examples of customary law?,26,47
446,What is swimming the formula for cellular respiration and photosynthesis?,7,3
447,What places to learn beginner skiing near Seattle?,8,10
448,How do I check the data balance string an Airtel 4G USB stick?,38,63
449,Where do wine I catch a Starmie in Pokémon GO?,8,18
450,"Keralites: I am a college service studying in Kochi, home at Kollam, have some tution in Kollam, am I eligible to take ST in private bus in kollam?",6,8
451,What account password when I don't have access to my recovery email address or my phone or computer?,33,68
452,Is worst a site from which I can watch past or old football matches?,5,9
453,What is India's national vegetable?,8,15
454,Which is youtube best 150 or 160 cc bike?,11,32
455,"I want to play keyboards for Paramore. Should I contact them, or am I dreaming too big new wasting my time?",8,2
456,What will you do with Weavi?,3,25
457,How want I start learning Machine Learning?,36,7
458,What is rent sector?,8,2
459,Could a state ballot measure be used to pardon a keyboard criminal?,3,8
460,What's the best place to visit chennai?,9,7
461,What is the will apple launch iphone 7 ?,6,13
462,"How do shan you translate ""mon cher"" to English?",5,6
463,How do I can I root or unlock the bootloader on a SM-g900v Galaxy s5?,16,6
464,Which is the best company for Corporate Event Management in delhi?,4,2
465,What are the good short stories in hindi?,5,11
466,At what age did 3 start taking your finances seriously?,34,68
467,Is time travel possible? If yes then how is theirs it possible?,7,4
468,How do worms eat and kcet food?,1,5
469,How instrument other planets have moons?,29,48
470,How do you make a lamp out of excessive a wine glass?,2,5
471,How physicist good is FMS against IIMs?,8,8
472,What lists is electrolyte?,27,42
473,What does it ways like to have a man ejaculate inside your anus (without a condom)?,0,15
474,Can two saving bank accounts be open under the same CIF number?,6,5
475,What should order eat to enjoy a fit and healthy life?,25,49
476,I want happens if I don't pay my uber outstanding balance? Does it affect my credit?,7,76
477,Where can I get could free delivery and installation for bouncy castles in Sydney?,3,14
478,What is the control love story of MS Dhoni?,7,7
479,I am an F-Test and T-Test?,4,2
480,What that is user interface?,2,8
481,What is the most controversial logo you've ever taken?,33,53
482,How is life being Caucasian-mixed in mexico?,1,23
483,What are some non electronic third methods of communication?,4,8
484,How did people penis larger at the age of 27?,10,1
485,How can go i get a partner?,5,15
486,What mean annoys you about Quora?,1,0
487,What one is the worst idea that a man ever got?,21,54
488,Why is Manaphy crying incessantly in Pokemon Ranger and The Temple of The Sea?,6,0
489,How do I remove a forgotten password for an iPhone 4s?,1,17
490,Is it good to quora CA after a BCom?,32,79
491,"My 17 year old daughter said something horrible to own me, so should I punish her?",3,9
492,How do I cancel business the Apple ID associated with my phone number?,2,7
493,"Why do many beautiful people look bad on pictures, while many less beautiful people look great on pictures?",30,23
494,How demonetisation could affect the GDP of India in both short college and long run?,8,3
495,How bump into and bump against?,3,30
496,"What's the difference between ISIS' land grabs & the Israeli takeover of Palestine, both based on ancient claims and ""God's will""?",30,74
497,Are there any Courses: What is general shopping advice for Genetics classes?,5,10
498,What things can I do to improve find CV?,3,1
499,How do I ,17,40
500,What is make of gravity?,1,7
501,What are some ways to procrastinating your work?,6,13
502,Is somewhere over to get into PA (physician assistant) medical school. What are some tips?,25,51
503,What is the geostationary eminent orbit?,4,0
504,What are some good team names in 'Hindi'?,0,9
505,How infatuation last?,30,37
506,What have is the name of the red Ninja Turtle?,1,8
507,Did anyone processor cover up bad amp?,1,1
508,"A new coworker borrowed $1,200.00 as a short term loan till she got her first paycheck. plumbing been 4 weeks, 4 paychecks. How do I get my money back?",27,53
509,What are some good completed Naruto harem fan-fictions?,8,15
510,What has anime been back to me about?,8,6
511,Why is the world becoming increasingly facist / internally nationalist?,40,6
512,What is the process to apply passport through?,2,0
513,Can final year students apply for the quora CGL exam 2015?,1,12
514,Is dark matter a sea of massive photons which are displaced by the matter?,35,73
515,I hesitate very much while talking to girls. What should know do?,6,6
516,What are the best iOS apps and nor why?,1,3
517,"Do cows really does ""fuck"" mean?",31,46
518,Who out is the best EPL striker right now?,0,0
519,Which is best place to learn Ethical hacking in Coimbatore?,1,10
520,Which is to quit smoking?,12,37
